PARCEL_ID,address
00110080,  LAKE  AVE Cleveland OH
00110081,9521  LAKE  AVE Cleveland OH
00110082,09515  LAKE AVE Cleveland OH
00110083,09511  LAKE  AVE Cleveland OH
00110084,09505  LAKE AVE Cleveland OH
00110085,09501  LAKE  AVE Cleveland OH
00111002,09419  LAKE AVE Cleveland OH
00111004,09407  LAKE AVE Cleveland OH
00111005,09401  LAKE AVE Cleveland OH
00111006,09308  CLIFTON BLVD Cleveland OH
00111007,09400  CLIFTON BLVD Cleveland OH
00111008,09406  CLIFTON BLVD Cleveland OH
00111009,09410  CLIFTON BLVD Cleveland OH
00111010,09414  CLIFTON BLVD Cleveland OH
00111011,09418  CLIFTON BLVD Cleveland OH
00111012,09422  CLIFTON BLVD Cleveland OH
00111013,09426  CLIFTON BLVD Cleveland OH
00111014,09500  CLIFTON BLVD Cleveland OH
00111015,09519  BALTIC RD Cleveland OH
00111016,09515  BALTIC RD Cleveland OH
00111017,09509  BALTIC RD Cleveland OH
00111018,09505  BALTIC RD Cleveland OH
00111019,09423  CLIFTON BLVD Cleveland OH
00111020,09417  CLIFTON BLVD Cleveland OH
00111021,09413  CLIFTON BLVD Cleveland OH
00111022,09409  CLIFTON BLVD Cleveland OH
00111023,09407  CLIFTON BLVD Cleveland OH
00111024,09403  CLIFTON BLVD Cleveland OH
00111025,09327  CLIFTON BLVD Cleveland OH
00111026,09323  CLIFTON BLVD Cleveland OH
00111027,09319  CLIFTON BLVD Cleveland OH
00111028,09315  CLIFTON BLVD Cleveland OH
