address,Total,lon,lat
"5701  Quimby AVE , Cleveland OH",1,-81.6504163,41.5099187
"5707  Grand AVE , Cleveland OH",1,-81.650083,41.482932
"5711  Grand AVE , Cleveland OH",1,-81.649967,41.482969
"5715  Grand AVE , Cleveland OH",1,-81.649846,41.483002
"5728  Transportation Blvd , Garfield Hts. OH",2,-81.613494,41.4053309
"5800  Diamond AVE , Cleveland OH",1,-81.649776,41.483466
"5803  Grand AVE , Cleveland OH",1,-81.649606,41.483066
"5807  Grand AVE , Cleveland OH",2,-81.649485,41.483098
"5808  Ensign AVE , Cleveland OH",1,-81.64955,41.484403
"5809  Grand AVE , Cleveland OH",1,-81.649365,41.48313
"5811  Lansing AVE , Cleveland OH",2,-81.6488983,41.4527313
"5812  Ensign AVE , Cleveland OH",1,-81.649412,41.484404
"5903  Grand AVE , Cleveland OH",1,-81.649004,41.483227
"5907  Grand AVE , Cleveland OH",1,-81.648884,41.4832589
"5908  Ensign AVE , Cleveland OH",1,-81.648898,41.484499
"595 E 110 ST , Cleveland OH",1,-81.6085815,41.5411068
"6002  Linwood AVE , Cleveland OH",1,-81.6484176,41.5117913
"6004  Ensign AVE , Cleveland OH",1,-81.6488,41.4845619
"6013  Grand AVE , Cleveland OH",1,-81.64828,41.48355
"6100  Kinsman AVE , Cleveland OH",1,-81.648686,41.484831
"6122  Storer AVE , Cleveland OH",2,-81.7281579,41.462618
"616 W Bagley RD , Berea OH",1,-81.8752538,41.3726328
"6209  Edna AVE , Cleveland OH",1,-81.646616,41.520347
"6303  Ridgewood AVE , Parma OH",1,-81.7282945,41.4110826
"6305  Fullerton AVE , Cleveland OH",2,-81.6461028,41.4552936
"6309  Fullerton AVE , Cleveland OH",3,-81.6459762,41.4552995
"6510  Hosmer AVE , Cleveland OH",1,-81.6444327,41.4532676
"6610  Fullerton AVE , Cleveland OH",1,-81.64362,41.454957
"6626  Forman AVE , Cleveland OH",1,-81.6428072,41.458487
"6700  Bradley  , Parma OH",1,-81.7306899,41.4143341
"6910  Linwood AVE , Cleveland OH",1,-81.641828,41.512099
"6911  Snow RD , Parma OH",1,-81.732326,41.404586
"6912  Linwood AVE , Cleveland OH",1,-81.641728,41.512099
"6920  Gertrude AVE , Cleveland OH",2,-81.6402606,41.4540719
"6920  Union AVE , Cleveland OH",1,-81.6399824,41.4628066
"7032  Colfax RD , Cleveland OH",1,-81.639235,41.481074
"7105  Colfax RD , Cleveland OH",2,-81.6387807,41.4813374
"7203  Ottawa RD , Cleveland OH",1,-81.6379353,41.4506955
"730 E 155 ST , Cleveland OH",1,-81.5738342,41.5605407
"7310  Neville  , Cleveland OH",1,-81.7383831,41.4649501
"734 E 155 ST , Cleveland OH",1,-81.5738323,41.5603446
"7510  Dorothy AVE , Parma OH",1,-81.736416,41.402479
"7515  Harvard AVE , Cleveland OH",2,-81.634946,41.449038
"7524  Spafford RD , Cleveland OH",1,-81.6366835,41.4539099
"7526  Spafford RD , Cleveland OH",1,-81.6362121,41.4540324
"7541  Kinsman Rd. , Cleveland OH",1,-81.6347969,41.4784769
"7573  Hickory Rd , Oakwood OH",1,-81.502972,41.355784
"7609  Euclid AVE , Cleveland OH",2,-81.6353168,41.5043394
"7766  Garfield BLVD , Garfield Hts. OH",1,-81.6325559,41.432461
"7922  Golden AVE , Cleveland OH",1,-81.632506,41.496982
"8001  Sycamore Row  , Cleveland OH",1,-81.566079,41.580966
"8009  Goodman AVE , Cleveland OH",2,-81.629261,41.442191
"8011  Central AVE , Cleveland OH",1,-81.632214,41.496563
"8501  Brinsmade AVE , Cleveland OH",2,-81.7432131,41.4671616
"9133  Broadway AVE , Cleveland OH",1,-81.6218529,41.4441117
"9233  Lorain AVE , Cleveland OH",1,-81.747255,41.468685
"9301-03  Parkgate AVE , Cleveland OH",1,-81.62312,41.528412
"9309  Raymond AVE , Cleveland OH",2,-81.6209049,41.466453
"9601  Chester Ave , Cleveland OH",1,-81.6204621,41.5060862
"9601  Chester Ave. , Cleveland OH",1,-81.6204621,41.5060862
"9723  Easton AVE , Cleveland OH",1,-81.6169804,41.4688668
